indx generation Control ExtinctionMost ExtinctionMore ExtinctionSome
91 9100.0 0.033884685000000005 0.10003588 0.088010535 0.062355439999999984
92 9200.0 0.033914654999999995 0.100122475 0.08810634499999999 0.062321119999999994
93 9300.0 0.03394316 0.100524845 0.08861206000000002 0.062277555
94 9400.0 0.03397453999999999 0.10074498000000001 0.08893203999999998 0.06223976499999999
95 9500.0 0.034000245000000005 0.10025154 0.08901272499999999 0.062195070000000005
96 9600.0 0.034024395 0.10224438 0.08898004 0.06215398500000001
97 9700.0 0.03405515499999999 0.10270079000000001 0.0889313 0.06211425499999999
98 9800.0 0.03408573499999999 0.10335682000000004 0.088886215 0.06207638000000001
99 9900.0 0.034116265 0.10353565500000002 0.08883986499999998 0.062035169999999994
100 10000.0 0.03414326999999999 0.10500608 0.091453885 0.062837435
101 10100.0 0.034171045000000004 0.10605703 0.09413247499999998 0.06950731
102 10200.0 0.034202305 0.106351945 0.094564575 0.069334415
103 10300.0 0.034237769999999994 0.10667502000000002 0.09504217000000001 0.06971344999999998
104 10400.0 0.034269875 0.10684806500000002 0.09534832 0.07021292000000001
105 10500.0 0.03430255 0.10564073499999997 0.095331085 0.07051935499999999
106 10600.0 0.034339655 0.10691944 0.09528693499999999 0.07051495500000002
107 10700.0 0.034373745 0.10713318999999996 0.095235945 0.07047411
108 10800.0 0.03440768999999999 0.10727168000000001 0.095185675 0.070435915
109 10900.0 0.03443238 0.10730446999999999 0.09513015 0.070393715
110 11000.0 0.03445939999999999 0.10675218 0.09793452000000001 0.070351195
111 11100.0 0.034493235 0.10855305 0.09998140000000001 0.07030953500000002
112 11200.0 0.03452978999999999 0.108995565 0.10005331000000002 0.07026848
113 11300.0 0.034564625 0.10940064999999996 0.10031303999999999 0.07022597
114 11400.0 0.03460019499999999 0.109465485 0.10052837999999997 0.07018559999999999
115 11500.0 0.034629505 0.10901933 0.100488155 0.07014822500000001
116 11600.0 0.034669765000000005 0.1106471 0.100434705 0.07010395999999999
117 11700.0 0.034703759999999986 0.110810755 0.10038980999999998 0.07006503000000001
118 11800.0 0.03473531 0.11103082 0.100330735 0.07001343499999998
119 11900.0 0.034769869999999994 0.11109287500000001 0.10027668499999998 0.069970305
120 12000.0 0.034805335 0.111747715 0.09996342500000002 0.068614755
121 12100.0 0.034838169999999995 0.11313658 0.10225829 0.074394945
122 12200.0 0.03486785 0.11354758000000001 0.10239923999999997 0.07409888
123 12300.0 0.034898885 0.11390183500000002 0.10293830499999998 0.07443809
124 12400.0 0.03493539999999999 0.11400658000000001 0.10309234500000002 0.07513446
125 12500.0 0.03497284 0.11534337000000001 0.10304744000000002 0.07543268
126 12600.0 0.035006085000000006 0.11715094499999998 0.102998035 0.07543359499999999
127 12700.0 0.03504236000000001 0.11773004999999999 0.102939165 0.07539463000000002
128 12800.0 0.035072655 0.11802743499999999 0.10288321 0.07535104
129 12900.0 0.035107679999999995 0.11803459499999999 0.10282962500000001 0.0753157
130 13000.0 0.03513978499999999 0.11790819500000001 0.10219623500000001 0.07526891999999999
131 13100.0 0.035178625000000005 0.12026403 0.10477465000000001 0.07522645999999998
132 13200.0 0.03520792 0.12032005500000001 0.104919905 0.075181765
133 13300.0 0.035249340000000004 0.12045357500000002 0.10555787999999999 0.07513286499999998
134 13400.0 0.03528227999999999 0.12050462999999997 0.10581719999999999 0.07508585999999999
135 13500.0 0.035319235 0.12072949 0.10576660499999999 0.07503782999999999
136 13600.0 0.035352024999999995 0.12132670000000001 0.10571108500000001 0.074990485
137 13700.0 0.03538076999999999 0.12166730499999998 0.10566299499999998 0.07494226000000001
138 13800.0 0.035410165 0.12205407000000001 0.10560382500000001 0.07489271500000003
139 13900.0 0.035441725 0.12213925 0.10554719499999998 0.074843855
140 14000.0 0.035481435000000006 0.12172215 0.10827350500000002 0.07277284000000002
141 14100.0 0.03551766 0.12273093000000002 0.11017471999999999 0.08014657
142 14200.0 0.035547915 0.12326156000000002 0.11041693000000004 0.08031598499999999
143 14300.0 0.035579929999999996 0.12348455500000002 0.11074815499999999 0.080548465
144 14400.0 0.035612700000000004 0.12361873000000001 0.11088019500000001 0.080851215
145 14500.0 0.035646785 0.125979715 0.110825335 0.08088691499999999
146 14600.0 0.0356828 0.1273297 0.11076744999999996 0.08083337
147 14700.0 0.03571592999999999 0.12776406 0.11071285499999999 0.08079137500000001
148 14800.0 0.035752229999999996 0.128241255 0.11065456 0.08074247999999999
149 14900.0 0.03578860500000001 0.12824079 0.11058638000000001 0.08069747000000001
150 15000.0 0.03582737 0.13048879 0.113145265 0.08064777999999999
