indx generation Control ExtinctionMost ExtinctionMore ExtinctionSome
0 0.0 0.010000000000000002 0.010000000000000002 0.010000000000000002 0.010000000000000002
1 100.0 0.011126502 0.010802865499999998 0.0109072315 0.0104995705
2 200.0 0.012964995500000001 0.012173644499999999 0.0125301785 0.0118079
3 300.0 0.015068519999999997 0.013969825 0.014392145000000004 0.013554280000000002
4 400.0 0.017139270000000005 0.016048725000000003 0.016412395 0.015439694999999998
5 500.0 0.01932211 0.017700965000000003 0.01854837 0.017386699999999995
6 600.0 0.021570805000000002 0.021395229999999998 0.020625225 0.01941784
7 700.0 0.023705139999999996 0.02235167 0.022675275 0.02154203
8 800.0 0.025792415000000003 0.023507085 0.024698354999999998 0.023742965000000005
9 900.0 0.02786994 0.024967915 0.0267874 0.026001280000000005
10 1000.0 0.029904760000000002 0.025498635 0.029954970000000004 0.028283565
11 1100.0 0.03158975 0.029333915 0.034126989999999996 0.03034121
12 1200.0 0.03270663 0.029933139999999997 0.034606745 0.031782295
13 1300.0 0.033245519999999994 0.030910025000000008 0.035467935 0.032602389999999995
14 1400.0 0.03338154 0.0321134 0.03640721499999999 0.03287869
15 1500.0 0.033361089999999996 0.03280026 0.03739702499999999 0.03287683
16 1600.0 0.03333459 0.0357021 0.038160175000000005 0.032850405000000006
17 1700.0 0.0333146 0.03632089 0.03858068 0.032821935
18 1800.0 0.033288055 0.03703224000000001 0.038614915 0.03279855500000001
19 1900.0 0.033266635 0.03782464 0.038582825 0.03278114
20 2000.0 0.03324827999999999 0.038956309999999994 0.038899445 0.03162232000000001
21 2100.0 0.03322263499999999 0.042274255 0.04237428 0.037452240000000005
22 2200.0 0.03319593 0.04286432999999999 0.04296504999999999 0.037995600000000004
23 2300.0 0.033176225 0.043806975000000005 0.04374123 0.038686225000000005
24 2400.0 0.03316069000000001 0.04479108499999999 0.044576784999999994 0.0395254
25 2500.0 0.03314686 0.04596035 0.04530303000000001 0.040378625000000015
26 2600.0 0.033126510000000005 0.050776200000000014 0.04560268 0.040958764999999994
27 2700.0 0.03311168 0.05136994499999999 0.045647074999999995 0.04109392
28 2800.0 0.03310093000000001 0.051969014999999986 0.04562794 0.041075765
29 2900.0 0.033086395000000005 0.05272017999999999 0.045590265000000005 0.041038130000000006
30 3000.0 0.033073609999999996 0.05038249999999998 0.04831741999999999 0.04100263999999999
31 3100.0 0.033052645000000005 0.055487845000000015 0.05287718499999999 0.040963889999999996
32 3200.0 0.03303934500000001 0.055895780000000006 0.053220790000000004 0.04093067
33 3300.0 0.033029915 0.056323984999999986 0.05373682 0.04089605999999999
34 3400.0 0.033019704999999996 0.05683248499999999 0.05444736 0.040863369999999996
35 3500.0 0.03301495 0.056513255 0.05490703500000001 0.040829075
36 3600.0 0.03301066 0.06174944 0.05496888 0.04080001
37 3700.0 0.033009794999999995 0.061842874999999985 0.05493538 0.04077042499999999
38 3800.0 0.033011830000000006 0.062146645000000014 0.054900935000000005 0.04073998499999999
39 3900.0 0.033013585000000005 0.06263727499999999 0.054862814999999995 0.04071007
40 4000.0 0.033008935 0.064483235 0.05387144999999999 0.041170395000000005
41 4100.0 0.03300938499999999 0.06744436000000001 0.058857375 0.04749299
42 4200.0 0.033005959999999994 0.06786916999999999 0.059225335000000025 0.047739255
43 4300.0 0.03301290999999999 0.068462 0.0598838 0.048339825
44 4400.0 0.03301350499999999 0.06894562500000001 0.06069553999999999 0.04919961
45 4500.0 0.033018864999999994 0.06895719 0.061043449999999985 0.04991610999999999
46 4600.0 0.033027555 0.07149993 0.06109515499999999 0.05019981
47 4700.0 0.033033465 0.071693545 0.061067599999999986 0.050269184999999994
48 4800.0 0.03303471000000001 0.071992425 0.06103375000000001 0.050250030000000015
49 4900.0 0.033040895 0.07244118000000001 0.06099554 0.05021370000000001
50 5000.0 0.033051715 0.07272408 0.06001787999999999 0.05017689000000001
51 5100.0 0.03305744000000001 0.07475455499999999 0.06396299999999999 0.050135905
52 5200.0 0.03306913499999999 0.07470685499999999 0.06426868000000001 0.050102165
53 5300.0 0.03307790000000001 0.07524349500000001 0.064833265 0.050067379999999995
54 5400.0 0.033087265000000005 0.07562930000000001 0.06519750999999999 0.050027239999999994
55 5500.0 0.03309849000000001 0.07561904 0.06544809000000001 0.04999579000000001
